id;start_date;end_date;language
1;2019-11-09T01:10:21;2019-11-08T18:18:38;SPANISH
2;2019-11-09T02:40:26;2019-11-08T11:46:37;FRENCH
3;2019-11-08T22:12:31;2019-11-08T13:36:31;FRENCH
4;2019-11-08T11:24:22;2019-11-08T18:51:24;FRENCH
5;2019-11-08T20:23:01;2019-11-09T01:07:10;ENGLISH
6;2019-11-09T02:40:02;2019-11-09T03:56:58;FRENCH
7;2019-11-08T12:02:22;2019-11-09T00:43:09;FRENCH
8;2019-11-08T09:33:41;2019-11-08T17:33:50;ENGLISH
9;2019-11-08T19:21:47;2019-11-09T03:46:25;FRENCH
10;2019-11-08T22:39:56;2019-11-08T19:56:11;SPANISH
