id;start_date;end_date;language
1;2019-11-09T01:20:12;2019-11-08T18:28:29;SPANISH
2;2019-11-09T02:50:18;2019-11-08T11:56:28;SPANISH
3;2019-11-08T22:22:22;2019-11-08T13:46:22;SPANISH
4;2019-11-08T11:34:13;2019-11-08T19:01:15;SPANISH
5;2019-11-08T20:32:52;2019-11-09T01:17:01;ENGLISH
6;2019-11-09T02:49:53;2019-11-09T04:06:49;SPANISH
7;2019-11-08T12:12:13;2019-11-09T00:53:00;ENGLISH
8;2019-11-08T09:43:32;2019-11-08T17:43:41;FRENCH
9;2019-11-08T19:31:38;2019-11-09T03:56:16;SPANISH
10;2019-11-08T22:49:47;2019-11-08T20:06:02;FRENCH
